[2025-01-28T06:17:57.497+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:17:57.498+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:18:02.497+0000] {subprocess.py:106} INFO - ic| file: '***tmpv6n3z5_h'
[2025-01-28T06:18:02.499+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:18:02.501+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:18:07.500+0000] {subprocess.py:106} INFO - ic| file: '***tmpv6n3z5_h'
[2025-01-28T06:18:07.501+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:18:07.503+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:18:12.502+0000] {subprocess.py:106} INFO - ic| file: '***tmpv6n3z5_h'
[2025-01-28T06:18:12.504+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:18:12.504+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:18:17.504+0000] {subprocess.py:106} INFO - ic| file: '***tmpv6n3z5_h'
[2025-01-28T06:18:17.506+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:18:17.507+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:18:22.506+0000] {subprocess.py:106} INFO - ic| file: '***tmpv6n3z5_h'
[2025-01-28T06:18:22.508+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:18:22.509+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:18:27.509+0000] {subprocess.py:106} INFO - ic| file: '***tmpv6n3z5_h'
[2025-01-28T06:18:27.511+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:18:27.513+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:18:32.512+0000] {subprocess.py:106} INFO - ic| file: '***tmpv6n3z5_h'
[2025-01-28T06:18:32.514+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:18:32.515+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:18:37.514+0000] {subprocess.py:106} INFO - ic| file: '***tmpv6n3z5_h'
[2025-01-28T06:18:37.516+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
