[2025-01-28T06:48:56.214+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:48:56.216+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:48:56.218+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:49:01.215+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:49:01.217+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:49:01.218+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:49:06.219+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:49:06.221+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:49:06.222+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:49:11.221+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:49:11.223+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:49:11.224+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:49:16.224+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:49:16.225+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:49:16.227+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:49:21.228+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:49:21.234+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:49:21.235+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:49:26.231+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:49:26.233+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:49:26.235+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:49:31.234+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:49:31.236+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:49:31.238+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:49:36.235+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:49:36.237+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:49:36.239+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:49:41.237+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:49:41.240+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:49:41.241+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:49:46.241+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:49:46.243+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:49:46.244+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:49:51.243+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:49:51.245+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:49:51.246+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:49:56.246+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
